# Open WebUI exporter — model price sheet (TEMPLATE)
#
# Copy this file to model_prices.csv, edit the rows, then point the exporter at
# it with MODEL_PRICES_CSV=/path/to/model_prices.csv (see .env.example / README).
# Rows here OVERRIDE the built-in table in pricing.py; models you don't list keep
# their built-in price. All prices are US dollars per 1,000,000 tokens.
#
# Columns:
#   model             model id exactly as Open WebUI reports it (e.g. gpt-4o,
#                     claude-sonnet-4-5, llama3.2:1b). Prefix-matched, so
#                     "gpt-4o" also covers "gpt-4o-2024-11-20".
#   provider          free-text label (openai/anthropic/google/...); optional.
#   input_per_1m      $ per 1M prompt (input) tokens.       REQUIRED
#   output_per_1m     $ per 1M completion (output) tokens.  REQUIRED
#   cache_read_per_1m $ per 1M cached-prompt tokens on a cache hit. 0 if n/a.
#   cache_write_per_1m $ per 1M tokens to write the prompt cache. 0 if n/a.
#
# Lines starting with # and blank lines are ignored. Keep the header row below.
model,provider,input_per_1m,output_per_1m,cache_read_per_1m,cache_write_per_1m
gpt-5.6,openai,5.00,30.00,0.50,0
gpt-5.6-luna,openai,1.00,6.00,0.10,0
gpt-4o,openai,2.50,10.00,1.25,0
claude-opus-4-8,anthropic,5.00,25.00,0.50,6.25
claude-sonnet-5,anthropic,3.00,15.00,0.30,3.75
claude-haiku-4-5,anthropic,1.00,5.00,0.10,1.25
gemini-3.1-pro,google,2.00,12.00,0.20,0
gemini-3.5-flash,google,1.50,9.00,0.15,0
grok-4.5,xai,2.00,6.00,0.50,0
deepseek-chat,deepseek,0.28,0.42,0.028,0
qwen3.7-max,qwen,1.25,3.75,0,0
glm-5.2,zai,1.40,4.40,0,0
mistral-large-3,mistral,0.50,1.50,0,0
# Local models: real API cost is $0 — set an internal chargeback rate or 0.
llama3.2:1b,ollama,0.05,0.10,0,0
